Day A,Day B
Squat 5 reps x 3 sets*,Squat 5 reps x 3 sets
Press/Bench Press 5 reps x 3 sets,Press/Bench Press 5 reps x 3 sets
Deadlift 5 reps x 1 set,Deadlift 5 reps x 1 set
Squat 5 reps x 3 sets,Squat 5 reps x 3 sets
Press/Bench Press 5 reps x 3 sets,Press/Bench Press 5 reps x 3 sets
Deadlift 5 reps x 1 set,Power Clean 3 reps x 5 sets
Squat 5 reps x 3 sets,Squat 5 reps x 3 sets
Press/Bench Press 5 reps x 3 sets,Press/Bench Press 5 reps x 3 sets
Deadlift 5 reps x 1 set/Power Clean 3 reps x 5 sets,Chin-ups
